,Компания,Модель,Комплектация,Тип кузова,Трансмиссия,Штат продажи,Состояние,Пробег,Цвет,Интерьер,Продавец,Оценочная стоимость,Цена продажи,День продажи,Месяц продажи,Год продажи
326504,Ford,F-150,XLT,SuperCrew,automatic,fl,49.0,18237.0,blue,tan,td auto finance,26000.0,30000.0,Tue,Feb,2015.0
326505,Ford,F-150,XLT,SuperCrew,automatic,pa,46.0,30878.0,gray,gray,queenston chev olds,26300.0,26000.0,Wed,Feb,2015.0
326506,Ford,F-150,XLT,SuperCrew,automatic,pa,49.0,37013.0,silver,gray,queenston chev olds,25700.0,26000.0,Wed,Feb,2015.0
326509,Ford,F-150,XLT,SuperCrew,automatic,az,44.0,90426.0,white,gray,ge fleet services for itself/servicer,20600.0,18800.0,Thu,Feb,2015.0
326510,Ford,F-150,XLT,SuperCab,automatic,co,2.0,94492.0,white,gray,the auto connection,17750.0,17900.0,Wed,Feb,2015.0
326511,Ford,F-150,XLT,SuperCrew,automatic,mi,45.0,25576.0,blue,gray,runde chevrolet inc,27000.0,26300.0,Thu,Feb,2015.0
326515,Ford,F-150,XLT,SuperCrew,automatic,wi,35.0,43570.0,white,gray,new look enterprises inc,23800.0,23100.0,Wed,Mar,2015.0
326516,Ford,F-150,XLT,SuperCrew,automatic,mn,3.0,38389.0,black,gray,ford motor credit company llc,24200.0,23300.0,Wed,Feb,2015.0
326517,Ford,F-150,XLT,SuperCrew,automatic,wi,46.0,11266.0,green,gray,fiserv/citizens one auto finance,28300.0,29500.0,Wed,Feb,2015.0
326518,Ford,F-150,XLT,SuperCab,automatic,mn,43.0,42725.0,gray,gray,ford-lincoln dealer program,23900.0,23500.0,Wed,Feb,2015.0
326809,Ford,F-150,XLT,SuperCrew,automatic,tx,39.0,106582.0,gold,tan,fairway ford henderson,16400.0,16500.0,Wed,Feb,2015.0
326810,Ford,F-150,FX4,SuperCab,automatic,mo,5.0,17867.0,blue,black,jackson ford inc,30600.0,31600.0,Tue,Mar,2015.0
326811,Ford,F-150,Platinum,SuperCrew,automatic,oh,41.0,30751.0,black,brown,humberview chevrolet,35000.0,32300.0,Tue,Feb,2015.0
326871,Ford,F-150,Lariat,SuperCrew,automatic,tn,49.0,65885.0,white,beige,wholesale inc # 2,28900.0,29000.0,Wed,Feb,2015.0
326872,Ford,F-150,XL,Regular Cab,automatic,fl,25.0,86372.0,black,gray,westfall auto sales,9625.0,9000.0,Wed,Feb,2015.0
326873,Ford,F-150,XLT,SuperCrew,automatic,fl,45.0,132092.0,gold,beige,westfall auto sales,17750.0,16800.0,Wed,Feb,2015.0
327002,Ford,F-150,XLT,SuperCab,automatic,fl,32.0,157695.0,white,gray,tdaf remarketing,7475.0,8300.0,Tue,Mar,2015.0
327137,Ford,F-150,Lariat,SuperCrew,automatic,ga,19.0,205129.0,black,tan,five star ford lincoln mercury,5800.0,4900.0,Fri,Feb,2015.0
327198,Ford,F-150,XL,Regular Cab,manual,fl,2.0,208412.0,gold,beige,dab auto world & leasing,2000.0,2900.0,Tue,Mar,2015.0
327256,Ford,F-150,Lariat,SuperCrew,automatic,ga,19.0,236567.0,beige,beige,five star ford lincoln mercury,2625.0,2100.0,Fri,Feb,2015.0
327257,Ford,F-150,XLT,SuperCrew,automatic,ga,29.0,186431.0,white,gray,five star ford lincoln mercury,3950.0,4600.0,Fri,Feb,2015.0
327317,Ford,F-150,FX4,SuperCrew,automatic,tn,47.0,18032.0,white,gray,wholesale inc # 2,35400.0,29500.0,Wed,Feb,2015.0
327318,Ford,F-150,King Ranch,SuperCrew,automatic,tx,35.0,46311.0,white,brown,music city autoplex llc,33900.0,35500.0,Wed,Mar,2015.0
327370,Ford,F-150,XLT,SuperCrew,automatic,ne,22.0,121671.0,silver,gray,fleet street remarketing llc,20600.0,16700.0,Thu,Feb,2015.0
327476,Ford,F-150,King Ranch,SuperCrew,automatic,fl,48.0,27882.0,black,brown,american bank auto liquidators,36800.0,38800.0,Tue,Feb,2015.0
327477,Ford,F-150,King Ranch,SuperCrew,automatic,nc,27.0,20910.0,off-white,brown,hendrick bmw northlake,38000.0,31000.0,Wed,Mar,2015.0
327478,Ford,F-150,XLT,SuperCrew,automatic,tn,44.0,25757.0,red,gray,sullivan auto group llc,26800.0,28800.0,Wed,Feb,2015.0
327543,Ford,F-150,XLT,SuperCab,automatic,va,26.0,56099.0,silver,gray,suntrust bank public,20900.0,17300.0,Thu,Feb,2015.0
327593,Ford,F-150,XL,Regular Cab,automatic,ga,27.0,146844.0,white,gray,bellamy strickland chev gmc,4250.0,4800.0,Thu,Feb,2015.0
327651,Ford,F-150,Lariat,SuperCrew,automatic,ca,22.0,195772.0,red,gray,hemborg ford,4600.0,3700.0,Tue,Feb,2015.0
327684,Ford,F-150,XL,Regular Cab,automatic,pa,4.0,13272.0,white,gray,u-haul,17750.0,18600.0,Fri,Feb,2015.0
327685,Ford,F-150,XL,Regular Cab,automatic,pa,48.0,8011.0,white,gray,u-haul,18100.0,19000.0,Fri,Feb,2015.0
327686,Ford,F-150,XL,Regular Cab,automatic,pa,35.0,8754.0,white,gray,u-haul,18050.0,17600.0,Fri,Feb,2015.0
327687,Ford,F-150,XL,Regular Cab,automatic,pa,35.0,11756.0,white,gray,u-haul,17850.0,18000.0,Fri,Feb,2015.0
327688,Ford,F-150,XLT,SuperCrew,automatic,tn,43.0,13498.0,white,gray,midtown motors,29000.0,25500.0,Wed,Feb,2015.0
327689,Ford,F-150,XLT,SuperCrew,automatic,tn,45.0,12615.0,white,gray,midtown motors,29100.0,25500.0,Wed,Feb,2015.0
327690,Ford,F-150,XLT,SuperCrew,automatic,tn,44.0,13150.0,white,gray,midtown motors,29000.0,25700.0,Wed,Feb,2015.0
327727,Ford,F-150,SVT Raptor,SuperCrew,automatic,ga,5.0,25993.0,black,black,town & country motors ii,48100.0,48600.0,Thu,Feb,2015.0
327728,Ford,F-150,FX4,SuperCrew,automatic,oh,44.0,28257.0,gray,black,pauley motor car co preowned vehicles llc,33300.0,36100.0,Tue,Feb,2015.0
327837,Ford,F-150,Lariat,SuperCrew,automatic,ga,4.0,30661.0,white,gray,gm financial/fender automotive group,28600.0,28400.0,Tue,Feb,2015.0
327839,Ford,F-150,XLT,SuperCrew,automatic,fl,27.0,35999.0,blue,gray,ford motor credit company llc,23300.0,23000.0,Fri,Feb,2015.0
327840,Ford,F-150,XLT,SuperCrew,automatic,mi,38.0,38852.0,black,gray,automobiles paille inc,24700.0,24300.0,Thu,Mar,2015.0
327841,Ford,F-150,XLT,SuperCrew,automatic,mi,33.0,26154.0,black,gray,automobiles paille inc,27200.0,24000.0,Thu,Mar,2015.0
328001,Ford,F-150,SVT Raptor,SuperCrew,automatic,fl,39.0,71577.0,blue,black,tdaf remarketing,36400.0,38000.0,Tue,Feb,2015.0
328005,Ford,F-150,XLT,SuperCrew,automatic,oh,36.0,62084.0,black,gray,humberview chevrolet,21900.0,22400.0,Tue,Mar,2015.0
328008,Ford,F-150,XLT,SuperCab,automatic,mi,36.0,44128.0,gray,gray,automobiles paille inc,22000.0,21000.0,Thu,Feb,2015.0
328009,Ford,F-150,XLT,SuperCrew,automatic,mi,42.0,98557.0,white,gray,automobiles paille inc,17600.0,16900.0,Thu,Feb,2015.0
328011,Ford,F-150,XLT,SuperCrew,automatic,mn,2.0,112649.0,black,gray,northstar ford,17750.0,14500.0,Wed,Feb,2015.0
328103,Ford,F-150,Lariat,SuperCrew,automatic,mi,37.0,50086.0,white,tan,automobiles paille inc,24200.0,23300.0,Thu,Feb,2015.0
328105,Ford,F-150,XLT,SuperCrew,automatic,mi,5.0,52137.0,silver,beige,runde chevrolet inc,19750.0,20200.0,Thu,Feb,2015.0
328107,Ford,F-150,XLT,SuperCab,automatic,mi,47.0,40579.0,red,gray,automobiles paille inc,19450.0,20500.0,Thu,Feb,2015.0
328108,Ford,F-150,XLT,SuperCab,automatic,mi,5.0,61525.0,silver,tan,runde chevrolet inc,17000.0,18600.0,Thu,Feb,2015.0
328109,Ford,F-150,Lariat,SuperCrew,automatic,oh,41.0,51359.0,white,tan,humberview chevrolet,24200.0,23700.0,Tue,Feb,2015.0
328159,Ford,F-150,XLT,SuperCrew,automatic,mi,39.0,113549.0,gold,tan,automobiles paille inc,15100.0,15700.0,Thu,Feb,2015.0
328160,Ford,F-150,XLT,SuperCrew,automatic,mi,45.0,79072.0,red,beige,larry hudson chevrolet buick gmc inc,17550.0,18300.0,Thu,Feb,2015.0
328161,Ford,F-150,Platinum,SuperCrew,automatic,mi,28.0,80637.0,gray,brown,larry hudson chevrolet buick gmc inc,22000.0,20300.0,Thu,Feb,2015.0
328227,Ford,F-150,STX,Regular Cab,automatic,il,19.0,28137.0,white,gray,allard rental corporation,8125.0,8600.0,Thu,Feb,2015.0
328228,Ford,F-150,STX,SuperCab,automatic,pa,29.0,65499.0,black,gray,autolenders liquidation center,10400.0,10900.0,Fri,Feb,2015.0
328229,Ford,F-150,King Ranch,SuperCrew,automatic,ga,33.0,68926.0,gold,beige,young motors llc,12050.0,14600.0,Tue,Feb,2015.0
328297,Ford,F-150,XL,SuperCab,automatic,tx,42.0,99133.0,white,gray,tdaf remarketing,7550.0,9200.0,Wed,Feb,2015.0
328494,Ford,F-150,Lariat,SuperCrew,automatic,mo,2.0,172795.0,black,black,remarketing by ge/nationwide acceptance llc,6500.0,6100.0,Wed,Mar,2015.0
328788,Ford,F-150,SVT Raptor,SuperCrew,automatic,fl,31.0,33387.0,black,black,tdaf remarketing,46500.0,48000.0,Tue,Feb,2015.0
328789,Ford,F-150,XL,Regular Cab,automatic,tx,5.0,28348.0,silver,gray,wichita falls ford lin inc,15550.0,17100.0,Wed,Feb,2015.0
328793,Ford,F-150,XL,Regular Cab,automatic,tx,37.0,66002.0,white,gray,enterprise fleet management exchange  inc.,14100.0,12900.0,Wed,Feb,2015.0
328794,Ford,F-150,XL,Regular Cab,automatic,tx,29.0,80241.0,silver,gray,wichita falls ford lin inc,14100.0,11000.0,Wed,Feb,2015.0
328795,Ford,F-150,FX4,SuperCrew,automatic,fl,46.0,29802.0,white,gray,ford motor credit company llc,32900.0,29500.0,Fri,Feb,2015.0
329510,Ford,F-150,Platinum,SuperCrew,automatic,ga,44.0,63074.0,black,brown,mcdonald auto sales & leasing,28700.0,27800.0,Thu,Mar,2015.0
329520,Ford,F-150,XLT,SuperCab,automatic,mo,46.0,35591.0,blue,gray,ford motor credit company llc,19750.0,20500.0,Tue,Mar,2015.0
329521,Ford,F-150,XLT,SuperCrew,automatic,ut,43.0,67716.0,white,black,excell auto center,21300.0,20100.0,Wed,Feb,2015.0
329522,Ford,F-150,FX4,SuperCrew,automatic,wa,42.0,61506.0,gray,black,maple ridge chrysler jeep dodge,29000.0,26700.0,Wed,Feb,2015.0
329523,Ford,F-150,XLT,SuperCrew,automatic,ut,35.0,62804.0,white,gray,auto focus inc,21900.0,21000.0,Wed,Feb,2015.0
329525,Ford,F-150,XLT,SuperCab,automatic,wa,44.0,59605.0,black,gray,xcar inc,21300.0,22100.0,Wed,Feb,2015.0
329527,Ford,F-150,XL,Regular Cab,automatic,fl,25.0,101315.0,silver,gray,lease plan/sutton ford,8475.0,8700.0,Wed,Feb,2015.0
329528,Ford,F-150,SVT Raptor,SuperCrew,automatic,co,49.0,21020.0,red,black,longmont auto wholesale,45800.0,47000.0,Wed,Feb,2015.0
329529,Ford,F-150,Platinum,SuperCrew,automatic,az,32.0,66363.0,white,brown,finishline services,29600.0,30600.0,Thu,Feb,2015.0
329530,Ford,F-150,Platinum,SuperCrew,automatic,fl,43.0,37883.0,off-white,brown,ritter & associates inc,33900.0,33800.0,Tue,Feb,2015.0
329531,Ford,F-150,XL,Regular Cab,automatic,hi,4.0,9940.0,white,gray,u-haul,13650.0,13750.0,Wed,Feb,2015.0
329532,Ford,F-150,XLT,SuperCab,automatic,wi,49.0,24984.0,black,gray,new look enterprises inc,24400.0,22900.0,Wed,Feb,2015.0
329533,Ford,F-150,XLT,SuperCrew,automatic,wa,41.0,35436.0,white,gray,xcar inc,26200.0,25500.0,Wed,Feb,2015.0
329534,Ford,F-150,XLT,SuperCrew,automatic,ut,22.0,87697.0,gray,gray,auto focus inc,20500.0,19500.0,Wed,Mar,2015.0
329535,Ford,F-150,XLT,SuperCrew,automatic,ut,43.0,23944.0,blue,gray,excell auto center,27600.0,26900.0,Wed,Feb,2015.0
329536,Ford,F-150,XLT,SuperCab,automatic,oh,5.0,40898.0,silver,gray,premium cars wholesale ltd,22100.0,22250.0,Tue,Feb,2015.0
330227,Ford,F-150,FX4,SuperCrew,automatic,wa,42.0,43949.0,gray,black,xcar inc,27400.0,28000.0,Wed,Feb,2015.0
330232,Ford,F-150,Lariat,SuperCrew,automatic,ca,39.0,72360.0,black,black,high bid trading co inc,22900.0,25500.0,Wed,Feb,2015.0
330235,Ford,F-150,Lariat,SuperCrew,automatic,fl,42.0,42134.0,black,black,ford motor credit company llc pd,25900.0,29000.0,Wed,Mar,2015.0
