,Компания,Модель,Комплектация,Тип кузова,Трансмиссия,Штат продажи,Состояние,Пробег,Цвет,Интерьер,Продавец,Оценочная стоимость,Цена продажи,День продажи,Месяц продажи,Год продажи
110963,Audi,A4,2.0T Avant Premium quattro,Wagon,automatic,fl,49.0,27264.0,gray,gray,rolls royce motorcars manhattan,24200.0,24000.0,Thu,Jan,2015.0
110977,Audi,A3,2.0 TDI Premium,Wagon,automatic,ca,3.0,78607.0,white,black,tradewinds remarketing,13400.0,16000.0,Tue,Jan,2015.0
110986,Audi,A4,2.0T Premium quattro,Sedan,automatic,nj,19.0,38291.0,white,black,vw credit  inc,21700.0,18800.0,Wed,Jan,2015.0
110987,Audi,A4,2.0T Premium quattro,Sedan,automatic,oh,37.0,22737.0,black,tan,wholesale inc # 2,23600.0,23500.0,Tue,Jan,2015.0
110990,Audi,Q5,3.2 Premium Plus quattro,SUV,automatic,fl,39.0,31956.0,white,brown,meridian remarketing,31200.0,32600.0,Tue,Jan,2015.0
110991,Audi,Q5,3.2 Premium Plus quattro,SUV,automatic,fl,46.0,43826.0,white,brown,tdaf remarketing,29300.0,34200.0,Tue,Jan,2015.0
110992,Audi,Q5,3.2 Premium Plus quattro,SUV,automatic,pa,42.0,43380.0,gray,gray,reedman toll auto world,29400.0,29250.0,Tue,Jan,2015.0
110995,Audi,Q5,2.0T Premium quattro,SUV,automatic,ne,42.0,73005.0,gray,tan,southgate leasing corp,22400.0,21100.0,Thu,Feb,2015.0
110996,Audi,A8,L 4.2 quattro,Sedan,automatic,ca,5.0,24833.0,gray,black,vci/audi of downtown la,44700.0,45500.0,Thu,Jan,2015.0
110999,Audi,A6,3.0T Premium quattro,Sedan,automatic,ca,41.0,17593.0,white,beige,high bid trading co inc,34700.0,36750.0,Thu,Jan,2015.0
111000,Audi,S4,Premium Plus quattro,Sedan,automatic,fl,44.0,33003.0,black,black,vw credit,30900.0,31200.0,Tue,Jan,2015.0
111001,Audi,A5,2.0T Premium quattro,Coupe,automatic,fl,36.0,15642.0,gray,black,tdaf remarketing,25200.0,26100.0,Tue,Jan,2015.0
111002,Audi,A7,Premium quattro,Sedan,automatic,ca,35.0,29013.0,gray,brown,high bid trading co inc,40400.0,41000.0,Thu,Jan,2015.0
111003,Audi,S4,Premium Plus quattro,Sedan,automatic,ca,42.0,15206.0,black,black,mckenna audi/mckenna bmw,33800.0,35000.0,Wed,Jan,2015.0
111004,Audi,Q5,2.0T Premium quattro,SUV,automatic,wi,36.0,47405.0,black,brown,napletons goldcoast imports inc,26700.0,27200.0,Wed,Jan,2015.0
111005,Audi,A6,3.0T Premium quattro,Sedan,automatic,ca,35.0,40323.0,black,black,mckenna audi/mckenna bmw,29100.0,27500.0,Wed,Jan,2015.0
111006,Audi,A5,2.0T Premium quattro,Coupe,automatic,oh,41.0,34346.0,white,tan,vw credit,25100.0,23000.0,Tue,Jan,2015.0
111007,Audi,A4,2.0T Premium quattro,Sedan,manual,pa,22.0,52363.0,white,beige,vw credit,20000.0,17500.0,Fri,Jan,2015.0
111009,Audi,A5,2.0T Premium quattro,Coupe,automatic,ca,39.0,74200.0,black,black,auto gallery,22500.0,21300.0,Thu,Jan,2015.0
111010,Audi,A7,Premium quattro,Sedan,automatic,ca,4.0,36882.0,white,black,audi of tucson,38900.0,43250.0,Thu,Jan,2015.0
111011,Audi,A4,2.0T Premium,Sedan,automatic,ca,39.0,55731.0,black,beige,commonwealth audi volkswagen,18550.0,18700.0,Thu,Jan,2015.0
111012,Audi,Q7,3.0T Premium quattro,SUV,automatic,ca,43.0,47268.0,silver,black,vci/audi of downtown la,36200.0,39000.0,Thu,Jan,2015.0
111014,Audi,A5,2.0T Premium quattro,Coupe,automatic,nj,19.0,28663.0,white,brown,vw credit  inc,25300.0,22600.0,Wed,Jan,2015.0
112512,Audi,A4,2.0T Premium quattro,Sedan,automatic,oh,19.0,23979.0,white,black,vw credit,20800.0,18300.0,Tue,Jan,2015.0
112540,Audi,A5,2.0T Premium quattro,Coupe,automatic,nj,36.0,72851.0,black,black,bmw of mount laurel,19250.0,18500.0,Wed,Jan,2015.0
112544,Audi,A5,2.0T Premium quattro,Convertible,automatic,pa,19.0,40126.0,black,black,vw credit,21800.0,20600.0,Fri,Jan,2015.0
112545,Audi,A6,3.0T Premium quattro,Sedan,automatic,ca,44.0,48458.0,gray,black,vci/audi of downtown la,23300.0,26000.0,Thu,Jan,2015.0
112557,Audi,A5,2.0T Premium quattro,Coupe,automatic,ca,43.0,93280.0,black,black,91 automotive west,17300.0,18000.0,Tue,Jan,2015.0
113560,Audi,S5,Premium Plus quattro,Coupe,automatic,ca,34.0,82818.0,black,black,omni auto consulting,27500.0,25000.0,Tue,Jan,2015.0
113562,Audi,A5,2.0T Premium quattro,Coupe,automatic,mo,41.0,70658.0,red,black,plaza motor company,19500.0,18200.0,Tue,Jan,2015.0
113565,Audi,R8,5.2 quattro,Coupe,manual,ca,43.0,21128.0,black,black,commonwealth audi volkswagen,98000.0,99000.0,Thu,Jan,2015.0
113572,Audi,A4,2.0T Premium,Sedan,automatic,ca,25.0,43469.0,white,black,volkswagen credit inc/sc,15000.0,13250.0,Thu,Jan,2015.0
113579,Audi,Q5,3.2 Premium quattro,SUV,automatic,fl,37.0,58477.0,black,brown,earl stewart toyota of north palm beach,24200.0,22000.0,Thu,Jan,2015.0
114022,Audi,A4,2.0T quattro,Convertible,automatic,nj,41.0,65908.0,white,black,holman infiniti,14150.0,16000.0,Wed,Jan,2015.0
114029,Audi,A8,quattro,Sedan,automatic,ca,41.0,69990.0,silver,gray,enterprise fleet management exchange  inc.,24400.0,22500.0,Thu,Jan,2015.0
114031,Audi,A4,2.0T Premium,Sedan,automatic,ga,36.0,76229.0,black,black,nalley lexus smyrna,11000.0,13000.0,Thu,Jan,2015.0
114032,Audi,A4,2.0T Premium Avant quattro,Wagon,automatic,or,36.0,102823.0,gray,black,auto hobby llc,9400.0,13900.0,Tue,Jan,2015.0
114033,Audi,A6,3.0T quattro,Sedan,automatic,il,34.0,70037.0,gray,black,remarketing by ge/manheim chicago,16450.0,13500.0,Thu,Jan,2015.0
114035,Audi,Q5,3.2 Premium quattro,SUV,automatic,fl,39.0,89229.0,blue,gray,coggin bmw treasure coast,16150.0,15800.0,Wed,Jan,2015.0
114039,Audi,A4,2.0T Premium quattro,Sedan,automatic,tx,41.0,66534.0,white,black,hopper motorplex inc,13050.0,14900.0,Wed,Jan,2015.0
114450,Audi,A6,3.2,Sedan,automatic,fl,19.0,109356.0,gray,black,santander consumer,8975.0,7000.0,Thu,Jan,2015.0
114451,Audi,A4,2.0T,Sedan,automatic,ca,28.0,72027.0,blue,tan,prestige auto wholesale inc,8925.0,10100.0,Tue,Jan,2015.0
114455,Audi,A4,2.0T,Sedan,automatic,ca,39.0,47083.0,black,black,ubs wholesale,10700.0,11000.0,Thu,Jan,2015.0
114461,Audi,A4,2.0T quattro,Convertible,automatic,va,19.0,87270.0,silver,black,manheim harrisonburg,8900.0,4500.0,Wed,Jan,2015.0
114464,Audi,A4,2.0T quattro,Sedan,automatic,tx,45.0,82802.0,white,beige,ford-lincoln dealer program,9625.0,11100.0,Thu,Jan,2015.0
114473,Audi,A6,3.2 quattro,Sedan,automatic,ca,25.0,29908.0,black,black,san diego sports cars,15350.0,18250.0,Wed,Jan,2015.0
114474,Audi,A4,2.0T,Sedan,automatic,ca,32.0,138747.0,gray,black,worthington ford,5025.0,5500.0,Wed,Jan,2015.0
114475,Audi,A8,L quattro,Sedan,automatic,mo,36.0,148489.0,black,brown,barreth chrysler center inc,12700.0,9500.0,Tue,Jan,2015.0
114477,Audi,A4,2.0T quattro,Sedan,automatic,mo,28.0,129183.0,black,black,capital finance loans llc,6675.0,4700.0,Tue,Jan,2015.0
114479,Audi,A6,4.2 quattro,Sedan,automatic,ca,43.0,87993.0,gray,gray,audi san diego,13400.0,13200.0,Wed,Jan,2015.0
114481,Audi,A4,2.0T,Convertible,automatic,nv,35.0,80436.0,blue,gray,financial services remarketing (repos),8400.0,8500.0,Fri,Jan,2015.0
115192,Audi,Q7,3.6 Premium quattro,SUV,automatic,ma,23.0,67268.0,black,tan,premier cape cod,15850.0,9100.0,Tue,Jan,2015.0
115196,Audi,A4,2.0T,Sedan,automatic,ga,32.0,115885.0,silver,black,tdaf remarketing,5050.0,5600.0,Tue,Jan,2015.0
115197,Audi,Q7,4.2 quattro,SUV,automatic,ca,35.0,92208.0,blue,black,high bid trading co inc,12250.0,15000.0,Wed,Jan,2015.0
